NAME,Population,Households,Receipt of SNAP,Public Assist,ZIP,city,county,pop
ZCTA5 97907,546,238,72,72,97907,Huntington,Baker,501
ZCTA5 97918,4533,1652,411,428,97918,Vale,Malheur,4224
ZCTA5 97850,17388,7071,1544,1632,97850,La Grande,Union,17294
ZCTA5 97864,260,168,15,15,97864,Monument,Grant,226
ZCTA5 97910,626,214,17,36,97910,Jordan Valley,Malheur,526
ZCTA5 97004,3964,1651,75,95,97004,Beavercreek,Clackamas,4241
ZCTA5 97017,3787,1245,232,246,97017,Colton,Clackamas,3407
ZCTA5 97021,1283,553,51,53,97021,Dufur,Wasco,1012
ZCTA5 97845,2152,1062,197,197,97845,John Day,Grant,2835
ZCTA5 97825,336,170,9,9,97825,Dayville,Grant,248
ZCTA5 97838,26071,8938,1836,1854,97838,Hermiston,Umatilla,26153
ZCTA5 97842,91,54,6,6,97842,Imnaha,Wallowa,118
ZCTA5 97848,236,90,2,2,97848,Kimberly,Grant,192
ZCTA5 97883,2256,974,144,152,97883,Union,Union,2526
ZCTA5 97885,1244,519,54,54,97885,Wallowa,Wallowa,1295
ZCTA5 97914,19281,5945,1859,1887,97914,Ontario,Malheur,19400
ZCTA5 97029,313,115,24,28,97029,Grass Valley,Sherman,269
ZCTA5 97001,385,82,29,42,97001,Antelope,Wasco,338
ZCTA5 97013,24396,8505,1075,1187,97013,Canby,Clackamas,24138
ZCTA5 97022,3918,1532,228,228,97022,Eagle Creek,Clackamas,3386
ZCTA5 97002,6418,2270,273,306,97002,Aurora,Marion,6657
ZCTA5 97005,27393,11850,1965,2069,97005,Beaverton,Washington,26329
ZCTA5 97011,813,370,36,36,97011,Brightwood,Clackamas,840
ZCTA5 97018,1696,715,45,45,97018,Columbia City,Columbia,1789
