NAME,Population,Households,Receipt of SNAP,Public Assist,ZIP,city,county,pop
ZCTA5 97411,7568,3411,631,633,97411,Bandon,Coos,7337
ZCTA5 97444,5974,2691,333,464,97444,Gold Beach,Curry,5643
ZCTA5 97448,13409,5255,708,766,97448,Junction City,Lane,13080
ZCTA5 97484,136,69,6,6,97484,Tiller,Douglas,178
ZCTA5 97486,668,324,4,4,97486,Umpqua,Douglas,663
ZCTA5 97496,7663,2967,674,674,97496,Winston,Douglas,7737
ZCTA5 97526,35302,14783,3640,3758,97526,Grants Pass,Josephine,35920
ZCTA5 97534,719,458,318,318,97534,O Brien,Josephine,927
ZCTA5 97537,7104,2879,673,690,97537,Rogue River,Jackson,7463
ZCTA5 97538,1809,719,108,108,97538,Selma,Josephine,1463
ZCTA5 97630,4797,2009,404,414,97630,Lakeview,Lake,4969
ZCTA5 97707,5970,2643,116,157,97707,Bend,Deschutes,6115
ZCTA5 97721,199,100,0,0,97721,Princeton,Harney,222
ZCTA5 97730,327,116,0,0,97730,Camp Sherman,Jefferson,222
ZCTA5 97732,113,46,0,0,97732,Crane,Harney,123
ZCTA5 97734,3606,1157,191,204,97734,Culver,Jefferson,3413
ZCTA5 97752,0,0,0,0,97752,Post,Crook,0
ZCTA5 97801,20859,7247,1722,1774,97801,Pendleton,Umatilla,20563
ZCTA5 97826,1274,452,35,35,97826,Echo,Umatilla,1144
ZCTA5 97827,2485,1109,149,171,97827,Elgin,Union,2407
ZCTA5 97833,673,338,37,37,97833,Haines,Baker,740
ZCTA5 97843,747,312,43,43,97843,Ione,Morrow,643
ZCTA5 97035,26721,10962,327,463,97035,Lake Oswego,Clackamas,26977
ZCTA5 97051,17126,6360,1580,1675,97051,Saint Helens,Columbia,16977
ZCTA5 97053,3633,1307,86,101,97053,Warren,Columbia,3248
ZCTA5 97067,2004,1058,206,221,97067,Welches,Clackamas,1745
ZCTA5 97101,4141,1390,215,224,97101,Amity,Yamhill,4278
ZCTA5 97351,11551,3511,781,792,97351,Independence,Polk,11150
ZCTA5 97378,10637,3349,558,639,97378,Sheridan,Yamhill,8442
ZCTA5 97394,5090,2423,502,522,97394,Waldport,Lincoln,5224
ZCTA5 97403,14024,4261,825,825,97403,Eugene,Lane,13398
ZCTA5 97413,944,475,113,123,97413,Blue River,Lane,944
ZCTA5 97414,154,73,0,0,97414,Broadbent,Coos,306
ZCTA5 97441,466,155,40,40,97441,Gardiner,Douglas,586
ZCTA5 97736,88,36,0,0,97736,Frenchglen,Harney,105
ZCTA5 97738,2045,823,142,149,97738,Hines,Harney,1772
ZCTA5 97739,13158,5416,1122,1122,97739,La Pine,Deschutes,12595
ZCTA5 97759,7530,3258,216,243,97759,Sisters,Deschutes,7896
ZCTA5 97812,832,340,69,69,97812,Arlington,Gilliam,909
ZCTA5 97813,1435,553,75,78,97813,Athena,Umatilla,1392
ZCTA5 97836,2148,914,107,107,97836,Heppner,Morrow,1941
ZCTA5 97481,875,346,147,147,97481,Tenmile,Douglas,757
ZCTA5 97504,48053,19656,3244,3339,97504,Medford,Jackson,47947
ZCTA5 97539,3296,1522,314,331,97539,Shady Cove,Jackson,3311
ZCTA5 97624,3519,1591,321,337,97624,Chiloquin,Klamath,3573
ZCTA5 97634,284,98,16,16,97634,Midland,Klamath,242
ZCTA5 97636,508,220,33,43,97636,Paisley,Lake,503
ZCTA5 97638,575,188,25,25,97638,Silver Lake,Lake,559
ZCTA5 97702,50395,20316,1750,1811,97702,Bend,Deschutes,50164
ZCTA5 97751,62,27,0,0,97751,Paulina,Crook,77
ZCTA5 97761,3631,1030,553,570,97761,Warm Springs,Jefferson,4181
ZCTA5 97817,55,7,0,0,97817,Bates,Grant,60
ZCTA5 97823,1014,539,89,89,97823,Condon,Gilliam,922
ZCTA5 97824,1853,722,45,51,97824,Cove,Union,1774
ZCTA5 97839,291,128,11,11,97839,Lexington,Morrow,283
ZCTA5 97841,540,195,8,8,97841,Imbler,Union,553
ZCTA5 97844,3803,1274,326,326,97844,Irrigon,Morrow,4133
ZCTA5 97846,1954,947,118,118,97846,Joseph,Wallowa,1878
ZCTA5 97859,230,72,15,15,97859,Meacham,Umatilla,151
ZCTA5 97862,12014,4462,1017,1071,97862,Milton Freewater,Umatilla,11949
ZCTA5 97875,2885,1059,122,134,97875,Stanfield,Umatilla,3126
ZCTA5 97882,7958,2258,464,502,97882,Umatilla,Umatilla,7972
ZCTA5 97904,249,117,10,17,97904,Drewsey,Harney,253
ZCTA5 97908,31,17,0,0,97908,Ironside,Malheur,38
ZCTA5 97810,1197,444,31,43,97810,Adams,Umatilla,1105
ZCTA5 97819,19,12,0,0,97819,Bridgeport,Baker,17
ZCTA5 97452,1518,594,53,53,97452,Lowell,Lane,1719
ZCTA5 97454,1136,411,50,50,97454,Marcola,Lane,1471
ZCTA5 97457,10365,4100,709,718,97457,Myrtle Creek,Douglas,10288
ZCTA5 97469,2789,1076,213,226,97469,Riddle,Douglas,2731
