NAME,Households,Receipt of SNAP,state,ZIP
ZCTA5 97817,11,0,41,97817
ZCTA5 97823,455,65,41,97823
ZCTA5 97824,715,40,41,97824
ZCTA5 97839,118,11,41,97839
ZCTA5 97841,205,30,41,97841
ZCTA5 97844,1358,371,41,97844
ZCTA5 97846,891,126,41,97846
ZCTA5 97859,57,19,41,97859
ZCTA5 97862,4295,901,41,97862
ZCTA5 97875,1083,202,41,97875
ZCTA5 97882,2086,583,41,97882
ZCTA5 97904,105,30,41,97904
ZCTA5 97443,832,156,41,97443
ZCTA5 97446,1937,349,41,97446
ZCTA5 97447,247,66,41,97447
ZCTA5 97450,247,54,41,97450
ZCTA5 97451,138,19,41,97451
ZCTA5 97479,4193,985,41,97479
ZCTA5 97498,780,107,41,97498
ZCTA5 97525,1828,229,41,97525
ZCTA5 97641,656,141,41,97641
ZCTA5 97701,28405,2838,41,97701
ZCTA5 97722,30,0,41,97722
ZCTA5 97733,227,66,41,97733
ZCTA5 97737,263,27,41,97737
ZCTA5 97024,4248,560,41,97024
ZCTA5 97028,105,0,41,97028
ZCTA5 97041,817,105,41,97041
ZCTA5 97060,7098,950,41,97060
ZCTA5 97111,1302,128,41,97111
ZCTA5 97119,1511,175,41,97119
ZCTA5 97145,156,0,41,97145
ZCTA5 97203,12249,2072,41,97203
ZCTA5 97206,20618,3421,41,97206
ZCTA5 97209,13072,2281,41,97209
ZCTA5 97211,13620,1845,41,97211
ZCTA5 97214,13149,1429,41,97214
ZCTA5 97231,1578,92,41,97231
ZCTA5 97908,19,0,41,97908
ZCTA5 97810,409,37,41,97810
ZCTA5 97819,10,0,41,97819
ZCTA5 97820,400,48,41,97820
ZCTA5 97830,316,59,41,97830
ZCTA5 97834,460,76,41,97834
ZCTA5 97911,46,1,41,97911
ZCTA5 97840,62,0,41,97840
ZCTA5 97868,703,127,41,97868
ZCTA5 97330,18095,2028,41,97330
ZCTA5 97342,51,9,41,97342
ZCTA5 97345,204,67,41,97345
ZCTA5 97352,2105,460,41,97352
ZCTA5 97361,4047,800,41,97361
ZCTA5 97365,4912,1026,41,97365
ZCTA5 97386,5538,1621,41,97386
ZCTA5 97401,21055,3656,41,97401
ZCTA5 97402,21335,5075,41,97402
ZCTA5 97417,1063,341,41,97417
ZCTA5 97419,479,75,41,97419
ZCTA5 97437,1078,171,41,97437
ZCTA5 97438,440,71,41,97438
ZCTA5 97223,19693,2059,41,97223
ZCTA5 97224,14763,1131,41,97224
ZCTA5 97302,15794,2335,41,97302
ZCTA5 97346,388,75,41,97346
ZCTA5 97355,11759,2347,41,97355
ZCTA5 97374,1677,118,41,97374
ZCTA5 97381,5707,514,41,97381
ZCTA5 97412,204,46,41,97412
ZCTA5 97431,808,242,41,97431
ZCTA5 97436,318,65,41,97436
ZCTA5 97455,935,57,41,97455
ZCTA5 97463,1685,582,41,97463
ZCTA5 97473,125,6,41,97473
ZCTA5 97536,466,149,41,97536
ZCTA5 97540,3902,681,41,97540
ZCTA5 97601,9726,2830,41,97601
ZCTA5 97818,1522,270,41,97818
ZCTA5 97639,243,122,41,97639
ZCTA5 97712,28,0,41,97712
ZCTA5 97753,927,186,41,97753
ZCTA5 97869,410,51,41,97869
ZCTA5 97877,186,35,41,97877
ZCTA5 97870,377,11,41,97870
ZCTA5 97222,15791,2125,41,97222
ZCTA5 97229,25161,1191,41,97229
ZCTA5 97266,12653,3155,41,97266
ZCTA5 97338,8159,1443,41,97338
ZCTA5 97344,512,183,41,97344
ZCTA5 97368,1461,356,41,97368
ZCTA5 97376,550,133,41,97376
ZCTA5 97383,3567,574,41,97383
ZCTA5 97391,2257,480,41,97391
ZCTA5 97411,3394,625,41,97411
ZCTA5 97444,2547,353,41,97444
ZCTA5 97448,5091,670,41,97448
ZCTA5 97114,1606,283,41,97114
ZCTA5 97122,168,14,41,97122
ZCTA5 97210,6710,441,41,97210
ZCTA5 97225,11388,537,41,97225
ZCTA5 97453,411,87,41,97453
ZCTA5 97741,4406,1317,41,97741
ZCTA5 97750,153,20,41,97750
ZCTA5 97756,14969,2912,41,97756
ZCTA5 97760,2897,449,41,97760
ZCTA5 97906,106,17,41,97906
ZCTA5 97913,1778,460,41,97913
ZCTA5 97015,8903,1282,41,97015
ZCTA5 97037,431,74,41,97037
ZCTA5 97065,274,48,41,97065
ZCTA5 97113,4465,440,41,97113
ZCTA5 97123,16272,1861,41,97123
ZCTA5 97133,1766,122,41,97133
ZCTA5 97138,4368,824,41,97138
ZCTA5 97326,446,72,41,97326
ZCTA5 97204,384,131,41,97204
ZCTA5 97212,10908,886,41,97212
ZCTA5 97215,7850,889,41,97215
ZCTA5 97321,10593,1333,41,97321
ZCTA5 97350,82,25,41,97350
ZCTA5 97814,5150,948,41,97814
ZCTA5 97835,121,17,41,97835
ZCTA5 97867,295,66,41,97867
ZCTA5 97874,193,26,41,97874
ZCTA5 97905,45,30,41,97905
ZCTA5 97907,235,104,41,97907
ZCTA5 97918,1555,386,41,97918
ZCTA5 97850,7013,1417,41,97850
ZCTA5 97864,112,16,41,97864
ZCTA5 97910,207,19,41,97910
ZCTA5 97004,1707,117,41,97004
ZCTA5 97017,1064,57,41,97017
ZCTA5 97021,462,43,41,97021
ZCTA5 97845,1337,332,41,97845
ZCTA5 97825,116,6,41,97825
ZCTA5 97838,9276,1833,41,97838
ZCTA5 97842,65,6,41,97842
ZCTA5 97848,76,4,41,97848
ZCTA5 97883,1022,154,41,97883
ZCTA5 97885,598,133,41,97885
ZCTA5 97914,5948,1820,41,97914
ZCTA5 97029,105,17,41,97029
ZCTA5 97001,69,23,41,97001
ZCTA5 97013,8718,1060,41,97013
ZCTA5 97022,1341,257,41,97022
ZCTA5 97002,2413,216,41,97002
ZCTA5 97005,11286,1892,41,97005
ZCTA5 97011,382,36,41,97011
ZCTA5 97018,763,46,41,97018
ZCTA5 97456,1099,149,41,97456
ZCTA5 97632,565,76,41,97632
ZCTA5 97865,534,88,41,97865
ZCTA5 97873,144,6,41,97873
ZCTA5 97876,359,41,41,97876
ZCTA5 97880,126,15,41,97880
ZCTA5 97886,419,55,41,97886
ZCTA5 97901,286,50,41,97901
ZCTA5 97903,25,0,41,97903
ZCTA5 97420,11631,2916,41,97420
ZCTA5 97040,592,23,41,97040
ZCTA5 97132,10351,1102,41,97132
ZCTA5 97232,7236,605,41,97232
ZCTA5 97033,35,0,41,97033
ZCTA5 97333,9497,1045,41,97333
