NAME,Population,Households,Receipt of SNAP,state,ZIP,Percent SNAP
ZCTA5 97479,9710,4193,985,41,97479,23.4915
ZCTA5 97498,1673,780,107,41,97498,13.7179
ZCTA5 97525,4350,1828,229,41,97525,12.5274
ZCTA5 97641,1196,656,141,41,97641,21.4939
ZCTA5 97701,69499,28405,2838,41,97701,9.9912
ZCTA5 97722,65,30,0,41,97722,0.0
ZCTA5 97733,391,227,66,41,97733,29.0749
ZCTA5 97737,591,263,27,41,97737,10.2662
ZCTA5 97024,10344,4248,560,41,97024,13.1827
ZCTA5 97028,192,105,0,41,97028,0.0
ZCTA5 97041,2979,817,105,41,97041,12.8519
ZCTA5 97060,22471,7098,950,41,97060,13.3841
ZCTA5 97111,3572,1302,128,41,97111,9.831
ZCTA5 97119,4527,1511,175,41,97119,11.5817
ZCTA5 97145,352,156,0,41,97145,0.0
ZCTA5 97203,34890,12249,2072,41,97203,16.9157
ZCTA5 97206,52996,20618,3421,41,97206,16.5923
ZCTA5 97209,18982,13072,2281,41,97209,17.4495
ZCTA5 97211,35429,13620,1845,41,97211,13.5463
ZCTA5 97214,26853,13149,1429,41,97214,10.8677
ZCTA5 97231,3957,1578,92,41,97231,5.8302
ZCTA5 97908,38,19,0,41,97908,0.0
ZCTA5 97810,1105,409,37,41,97810,9.0465
ZCTA5 97819,17,10,0,41,97819,0.0
ZCTA5 97820,899,400,48,41,97820,12.0
ZCTA5 97830,642,316,59,41,97830,18.6709
ZCTA5 97834,904,460,76,41,97834,16.5217
ZCTA5 97911,69,46,1,41,97911,2.1739
ZCTA5 97840,216,62,0,41,97840,0.0
ZCTA5 97868,1781,703,127,41,97868,18.0654
ZCTA5 97330,42956,18095,2028,41,97330,11.2075
ZCTA5 97342,89,51,9,41,97342,17.6471
ZCTA5 97345,731,204,67,41,97345,32.8431
ZCTA5 97352,6518,2105,460,41,97352,21.8527
ZCTA5 97361,12297,4047,800,41,97361,19.7677
ZCTA5 97365,11348,4912,1026,41,97365,20.8876
ZCTA5 97386,14693,5538,1621,41,97386,29.2705
ZCTA5 97401,45830,21055,3656,41,97401,17.364
ZCTA5 97402,52310,21335,5075,41,97402,23.7872
ZCTA5 97417,2407,1063,341,41,97417,32.079
ZCTA5 97419,1074,479,75,41,97419,15.6576
ZCTA5 97437,2939,1078,171,41,97437,15.8627
ZCTA5 97438,1084,440,71,41,97438,16.1364
ZCTA5 97223,50585,19693,2059,41,97223,10.4555
ZCTA5 97224,35434,14763,1131,41,97224,7.661
ZCTA5 97302,38706,15794,2335,41,97302,14.7841
ZCTA5 97346,988,388,75,41,97346,19.3299
ZCTA5 97355,30364,11759,2347,41,97355,19.9592
ZCTA5 97374,4521,1677,118,41,97374,7.0364
ZCTA5 97381,16158,5707,514,41,97381,9.0065
ZCTA5 97412,518,204,46,41,97412,22.549
ZCTA5 97431,2341,808,242,41,97431,29.9505
ZCTA5 97436,698,318,65,41,97436,20.4403
ZCTA5 97455,3175,935,57,41,97455,6.0963
ZCTA5 97463,3899,1685,582,41,97463,34.5401
ZCTA5 97473,254,125,6,41,97473,4.8
ZCTA5 97536,1031,466,149,41,97536,31.9742
ZCTA5 97540,8484,3902,681,41,97540,17.4526
ZCTA5 97601,22726,9726,2830,41,97601,29.0973
ZCTA5 97818,4244,1522,270,41,97818,17.7398
ZCTA5 97639,659,243,122,41,97639,50.2058
ZCTA5 97712,86,28,0,41,97712,0.0
ZCTA5 97753,2570,927,186,41,97753,20.0647
ZCTA5 97869,930,410,51,41,97869,12.439
ZCTA5 97877,282,186,35,41,97877,18.8172
ZCTA5 97870,798,377,11,41,97870,2.9178
ZCTA5 97222,36952,15791,2125,41,97222,13.457
ZCTA5 97229,69450,25161,1191,41,97229,4.7335
ZCTA5 97266,35727,12653,3155,41,97266,24.9348
ZCTA5 97338,21880,8159,1443,41,97338,17.686
ZCTA5 97344,1491,512,183,41,97344,35.7422
ZCTA5 97368,3319,1461,356,41,97368,24.3669
